Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Classical_DNN,cytotoxicity_median,3,3,182,200,0.1313,0.0889,0.7200,0.8000,0.00,0.33
Classical_DNN,cytotoxicity_median,3,3,183,200,0.1110,0.0889,0.7000,0.8000,0.00,0.33
Classical_DNN,cytotoxicity_median,3,3,184,200,0.1009,0.0889,0.7000,0.8000,0.00,0.33
Classical_DNN,cytotoxicity_median,3,3,185,200,0.0959,0.0889,0.7000,0.8000,0.00,0.34
Classical_DNN,cytotoxicity_median,3,3,186,200,0.0923,0.0889,0.7200,0.8000,0.00,0.34
Classical_DNN,cytotoxicity_median,3,3,187,200,0.0988,0.0889,0.7200,0.8000,0.00,0.34
Classical_DNN,cytotoxicity_median,3,3,188,200,0.1032,0.0889,0.7200,0.8000,0.00,0.34
Classical_DNN,cytotoxicity_median,3,3,189,200,0.0953,0.0889,0.7000,0.8000,0.00,0.34
Classical_DNN,cytotoxicity_median,3,3,190,200,0.1121,0.0889,0.7000,0.8000,0.00,0.35
Classical_DNN,cytotoxicity_median,3,3,191,200,0.0984,0.0889,0.7000,0.8000,0.00,0.35
Classical_DNN,cytotoxicity_median,3,3,192,200,0.1052,0.0889,0.7200,0.8000,0.00,0.35
Classical_DNN,cytotoxicity_median,3,3,193,200,0.1327,0.0889,0.7200,0.8000,0.00,0.35
Classical_DNN,cytotoxicity_median,3,3,194,200,0.1042,0.0889,0.7000,0.8000,0.00,0.35
Classical_DNN,cytotoxicity_median,3,3,195,200,0.0951,0.0889,0.7000,0.8000,0.00,0.35
Classical_DNN,cytotoxicity_median,3,3,196,200,0.0907,0.0889,0.6600,0.8000,0.00,0.36
Classical_DNN,cytotoxicity_median,3,3,197,200,0.0890,0.0889,0.6800,0.8000,0.00,0.36
Classical_DNN,cytotoxicity_median,3,3,198,200,0.1415,0.0889,0.7200,0.8000,0.00,0.36
Classical_DNN,cytotoxicity_median,3,3,199,200,0.1109,0.0889,0.6800,0.8000,0.00,0.36
Classical_DNN,cytotoxicity_median,3,3,200,200,0.1010,0.0889,0.6800,0.8000,0.00,0.36
=================================================================================
Classical_DNN,cytotoxicity_median,3,3,1,200,0.6896,0.6896,0.7000,0.7000,0.00,0.00
Classical_DNN,cytotoxicity_median,3,3,2,200,0.6437,0.6437,0.7200,0.7200,0.00,0.00
Classical_DNN,cytotoxicity_median,3,3,3,200,0.6080,0.6080,0.7400,0.7400,0.00,0.01
Classical_DNN,cytotoxicity_median,3,3,4,200,0.5667,0.5667,0.7200,0.7400,0.00,0.01
Classical_DNN,cytotoxicity_median,3,3,5,200,0.5496,0.5496,0.7000,0.7400,0.00,0.01
Classical_DNN,cytotoxicity_median,3,3,6,200,0.5349,0.5349,0.6800,0.7400,0.00,0.01
Classical_DNN,cytotoxicity_median,3,3,7,200,0.5207,0.5207,0.6600,0.7400,0.00,0.01
Classical_DNN,cytotoxicity_median,3,3,8,200,0.5004,0.5004,0.6800,0.7400,0.00,0.02
Classical_DNN,cytotoxicity_median,3,3,9,200,0.4885,0.4885,0.6800,0.7400,0.00,0.02
Classical_DNN,cytotoxicity_median,3,3,10,200,0.4895,0.4885,0.6800,0.7400,0.00,0.02
Classical_DNN,cytotoxicity_median,3,3,11,200,0.4842,0.4842,0.6800,0.7400,0.00,0.02
Classical_DNN,cytotoxicity_median,3,3,12,200,0.4784,0.4784,0.7400,0.7400,0.00,0.02
Classical_DNN,cytotoxicity_median,3,3,13,200,0.4768,0.4768,0.7400,0.7400,0.00,0.02
Classical_DNN,cytotoxicity_median,3,3,14,200,0.4637,0.4637,0.7200,0.7400,0.00,0.03
Classical_DNN,cytotoxicity_median,3,3,15,200,0.4651,0.4637,0.6600,0.7400,0.00,0.03
Classical_DNN,cytotoxicity_median,3,3,16,200,0.4628,0.4628,0.6600,0.7400,0.00,0.03
Classical_DNN,cytotoxicity_median,3,3,17,200,0.4487,0.4487,0.7200,0.7400,0.00,0.03
Classical_DNN,cytotoxicity_median,3,3,18,200,0.4475,0.4475,0.7000,0.7400,0.00,0.03
Classical_DNN,cytotoxicity_median,3,3,19,200,0.4528,0.4475,0.7000,0.7400,0.00,0.03
Classical_DNN,cytotoxicity_median,3,3,20,200,0.4375,0.4375,0.7400,0.7400,0.00,0.04
Classical_DNN,cytotoxicity_median,3,3,21,200,0.4452,0.4375,0.7400,0.7400,0.00,0.04
Classical_DNN,cytotoxicity_median,3,3,22,200,0.4478,0.4375,0.7200,0.7400,0.00,0.04
Classical_DNN,cytotoxicity_median,3,3,23,200,0.4296,0.4296,0.6400,0.7400,0.00,0.04
Classical_DNN,cytotoxicity_median,3,3,24,200,0.4245,0.4245,0.7000,0.7400,0.00,0.04
Classical_DNN,cytotoxicity_median,3,3,25,200,0.4548,0.4245,0.7000,0.7400,0.00,0.05
Classical_DNN,cytotoxicity_median,3,3,26,200,0.4197,0.4197,0.7800,0.7800,0.00,0.05
Classical_DNN,cytotoxicity_median,3,3,27,200,0.4633,0.4197,0.7400,0.7800,0.00,0.05
Classical_DNN,cytotoxicity_median,3,3,28,200,0.4346,0.4197,0.6800,0.7800,0.00,0.05
Classical_DNN,cytotoxicity_median,3,3,29,200,0.4318,0.4197,0.7200,0.7800,0.00,0.05
Classical_DNN,cytotoxicity_median,3,3,30,200,0.4214,0.4197,0.7000,0.7800,0.00,0.05
Classical_DNN,cytotoxicity_median,3,3,31,200,0.4085,0.4085,0.7200,0.7800,0.00,0.05
Classical_DNN,cytotoxicity_median,3,3,32,200,0.4506,0.4085,0.7400,0.7800,0.00,0.06
Classical_DNN,cytotoxicity_median,3,3,33,200,0.4170,0.4085,0.7600,0.7800,0.00,0.06
Classical_DNN,cytotoxicity_median,3,3,34,200,0.4068,0.4068,0.7200,0.7800,0.00,0.06
Classical_DNN,cytotoxicity_median,3,3,35,200,0.4430,0.4068,0.7200,0.7800,0.00,0.06
Classical_DNN,cytotoxicity_median,3,3,36,200,0.4031,0.4031,0.7400,0.7800,0.00,0.06
Classical_DNN,cytotoxicity_median,3,3,37,200,0.4205,0.4031,0.7400,0.7800,0.00,0.07
Classical_DNN,cytotoxicity_median,3,3,38,200,0.3792,0.3792,0.8000,0.8000,0.00,0.07
Classical_DNN,cytotoxicity_median,3,3,39,200,0.4015,0.3792,0.7200,0.8000,0.00,0.07
Classical_DNN,cytotoxicity_median,3,3,40,200,0.3901,0.3792,0.7400,0.8000,0.00,0.07
Classical_DNN,cytotoxicity_median,3,3,41,200,0.3801,0.3792,0.7400,0.8000,0.00,0.07
Classical_DNN,cytotoxicity_median,3,3,42,200,0.3689,0.3689,0.7200,0.8000,0.00,0.08
Classical_DNN,cytotoxicity_median,3,3,43,200,0.3595,0.3595,0.7600,0.8000,0.00,0.08
Classical_DNN,cytotoxicity_median,3,3,44,200,0.3467,0.3467,0.7600,0.8000,0.00,0.08
Classical_DNN,cytotoxicity_median,3,3,45,200,0.3429,0.3429,0.7600,0.8000,0.00,0.08
Classical_DNN,cytotoxicity_median,3,3,46,200,0.3326,0.3326,0.7400,0.8000,0.00,0.08
Classical_DNN,cytotoxicity_median,3,3,47,200,0.3165,0.3165,0.7800,0.8000,0.00,0.09
Classical_DNN,cytotoxicity_median,3,3,48,200,0.3327,0.3165,0.7600,0.8000,0.00,0.09
Classical_DNN,cytotoxicity_median,3,3,49,200,0.3228,0.3165,0.7600,0.8000,0.00,0.09
Classical_DNN,cytotoxicity_median,3,3,50,200,0.3079,0.3079,0.7600,0.8000,0.00,0.09
Classical_DNN,cytotoxicity_median,3,3,51,200,0.3500,0.3079,0.7200,0.8000,0.00,0.09
Classical_DNN,cytotoxicity_median,3,3,52,200,0.2943,0.2943,0.7200,0.8000,0.00,0.10
Classical_DNN,cytotoxicity_median,3,3,53,200,0.3334,0.2943,0.7400,0.8000,0.00,0.10
