Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Basic_VQC,titanic_survival,3,4,137,200,0.5770,0.5702,0.6927,0.7151,0.07,9.18
Basic_VQC,titanic_survival,3,4,138,200,0.5758,0.5702,0.6872,0.7151,0.07,9.25
Basic_VQC,titanic_survival,3,4,139,200,0.5736,0.5702,0.7039,0.7151,0.07,9.31
Basic_VQC,titanic_survival,3,4,140,200,0.5796,0.5702,0.6592,0.7151,0.06,9.38
Basic_VQC,titanic_survival,3,4,141,200,0.5746,0.5702,0.6983,0.7151,0.07,9.44
Basic_VQC,titanic_survival,3,4,142,200,0.5721,0.5702,0.6983,0.7151,0.07,9.51
Basic_VQC,titanic_survival,3,4,143,200,0.5742,0.5702,0.6983,0.7151,0.07,9.57
Basic_VQC,titanic_survival,3,4,144,200,0.5748,0.5702,0.7095,0.7151,0.07,9.64
Basic_VQC,titanic_survival,3,4,145,200,0.5726,0.5702,0.6872,0.7151,0.07,9.71
Basic_VQC,titanic_survival,3,4,146,200,0.5731,0.5702,0.6760,0.7151,0.07,9.77
Basic_VQC,titanic_survival,3,4,147,200,0.5711,0.5702,0.7039,0.7151,0.07,9.84
Basic_VQC,titanic_survival,3,4,148,200,0.5722,0.5702,0.6872,0.7151,0.06,9.91
Basic_VQC,titanic_survival,3,4,149,200,0.5714,0.5702,0.6816,0.7151,0.07,9.97
Basic_VQC,titanic_survival,3,4,150,200,0.5735,0.5702,0.6983,0.7151,0.07,10.04
Basic_VQC,titanic_survival,3,4,151,200,0.5739,0.5702,0.7095,0.7151,0.07,10.10
Basic_VQC,titanic_survival,3,4,152,200,0.5732,0.5702,0.6480,0.7151,0.07,10.17
Basic_VQC,titanic_survival,3,4,153,200,0.5734,0.5702,0.7095,0.7151,0.07,10.24
Basic_VQC,titanic_survival,3,4,154,200,0.5764,0.5702,0.6760,0.7151,0.07,10.31
Basic_VQC,titanic_survival,3,4,155,200,0.5728,0.5702,0.6927,0.7151,0.07,10.37
Basic_VQC,titanic_survival,3,4,156,200,0.5727,0.5702,0.6983,0.7151,0.07,10.44
Basic_VQC,titanic_survival,3,4,157,200,0.5737,0.5702,0.6983,0.7151,0.07,10.51
Basic_VQC,titanic_survival,3,4,158,200,0.5740,0.5702,0.6872,0.7151,0.07,10.57
Basic_VQC,titanic_survival,3,4,159,200,0.5766,0.5702,0.7207,0.7207,0.06,10.64
Basic_VQC,titanic_survival,3,4,160,200,0.5792,0.5702,0.6592,0.7207,0.07,10.70
Basic_VQC,titanic_survival,3,4,161,200,0.5781,0.5702,0.6425,0.7207,0.07,10.77
Basic_VQC,titanic_survival,3,4,162,200,0.5771,0.5702,0.7151,0.7207,0.07,10.84
Basic_VQC,titanic_survival,3,4,163,200,0.5756,0.5702,0.6760,0.7207,0.07,10.90
Basic_VQC,titanic_survival,3,4,164,200,0.5742,0.5702,0.6983,0.7207,0.06,10.97
Basic_VQC,titanic_survival,3,4,165,200,0.5733,0.5702,0.6872,0.7207,0.06,11.03
Basic_VQC,titanic_survival,3,4,166,200,0.5738,0.5702,0.6983,0.7207,0.07,11.10
Basic_VQC,titanic_survival,3,4,167,200,0.5747,0.5702,0.6816,0.7207,0.07,11.17
Basic_VQC,titanic_survival,3,4,168,200,0.5732,0.5702,0.7151,0.7207,0.07,11.23
Basic_VQC,titanic_survival,3,4,169,200,0.5751,0.5702,0.6816,0.7207,0.07,11.30
Basic_VQC,titanic_survival,3,4,170,200,0.5747,0.5702,0.7039,0.7207,0.07,11.36
Basic_VQC,titanic_survival,3,4,171,200,0.5732,0.5702,0.7039,0.7207,0.06,11.43
Basic_VQC,titanic_survival,3,4,172,200,0.5724,0.5702,0.6983,0.7207,0.07,11.49
Basic_VQC,titanic_survival,3,4,173,200,0.5762,0.5702,0.6983,0.7207,0.06,11.56
Basic_VQC,titanic_survival,3,4,174,200,0.5729,0.5702,0.7039,0.7207,0.06,11.62
Basic_VQC,titanic_survival,3,4,175,200,0.5739,0.5702,0.6872,0.7207,0.07,11.69
Basic_VQC,titanic_survival,3,4,176,200,0.5741,0.5702,0.7039,0.7207,0.06,11.76
Basic_VQC,titanic_survival,3,4,177,200,0.5732,0.5702,0.6760,0.7207,0.07,11.82
Basic_VQC,titanic_survival,3,4,178,200,0.5708,0.5702,0.7039,0.7207,0.07,11.89
Basic_VQC,titanic_survival,3,4,179,200,0.5722,0.5702,0.6983,0.7207,0.07,11.95
Basic_VQC,titanic_survival,3,4,180,200,0.5710,0.5702,0.7095,0.7207,0.06,12.02
Basic_VQC,titanic_survival,3,4,181,200,0.5743,0.5702,0.6816,0.7207,0.07,12.09
Basic_VQC,titanic_survival,3,4,182,200,0.5723,0.5702,0.7039,0.7207,0.07,12.15
Basic_VQC,titanic_survival,3,4,183,200,0.5742,0.5702,0.7039,0.7207,0.07,12.22
Basic_VQC,titanic_survival,3,4,184,200,0.5713,0.5702,0.7095,0.7207,0.06,12.28
Basic_VQC,titanic_survival,3,4,185,200,0.5726,0.5702,0.7039,0.7207,0.07,12.35
Basic_VQC,titanic_survival,3,4,186,200,0.5788,0.5702,0.6927,0.7207,0.07,12.41
Basic_VQC,titanic_survival,3,4,187,200,0.5740,0.5702,0.6927,0.7207,0.07,12.48
Basic_VQC,titanic_survival,3,4,188,200,0.5707,0.5702,0.6983,0.7207,0.07,12.55
Basic_VQC,titanic_survival,3,4,189,200,0.5781,0.5702,0.7039,0.7207,0.06,12.61
Basic_VQC,titanic_survival,3,4,190,200,0.5747,0.5702,0.7039,0.7207,0.07,12.68
Basic_VQC,titanic_survival,3,4,191,200,0.5703,0.5702,0.7095,0.7207,0.07,12.75
Basic_VQC,titanic_survival,3,4,192,200,0.5723,0.5702,0.6816,0.7207,0.07,12.81
Basic_VQC,titanic_survival,3,4,193,200,0.5722,0.5702,0.6983,0.7207,0.07,12.88
Basic_VQC,titanic_survival,3,4,194,200,0.5731,0.5702,0.7151,0.7207,0.07,12.95
Basic_VQC,titanic_survival,3,4,195,200,0.5737,0.5702,0.6816,0.7207,0.07,13.02
Basic_VQC,titanic_survival,3,4,196,200,0.5725,0.5702,0.7095,0.7207,0.07,13.08
Basic_VQC,titanic_survival,3,4,197,200,0.5746,0.5702,0.7095,0.7207,0.06,13.14
Basic_VQC,titanic_survival,3,4,198,200,0.5753,0.5702,0.6816,0.7207,0.07,13.21
Basic_VQC,titanic_survival,3,4,199,200,0.5723,0.5702,0.6760,0.7207,0.06,13.27
Basic_VQC,titanic_survival,3,4,200,200,0.5737,0.5702,0.6927,0.7207,0.07,13.34
=================================================================================
Basic_VQC,titanic_survival,3,4,1,200,0.6496,0.6496,0.5419,0.5419,0.07,0.07
Basic_VQC,titanic_survival,3,4,2,200,0.6201,0.6201,0.6313,0.6313,0.07,0.14
Basic_VQC,titanic_survival,3,4,3,200,0.6018,0.6018,0.6592,0.6592,0.06,0.20
Basic_VQC,titanic_survival,3,4,4,200,0.5931,0.5931,0.6480,0.6592,0.06,0.27
Basic_VQC,titanic_survival,3,4,5,200,0.5880,0.5880,0.6480,0.6592,0.06,0.33
Basic_VQC,titanic_survival,3,4,6,200,0.5859,0.5859,0.6760,0.6760,0.06,0.40
Basic_VQC,titanic_survival,3,4,7,200,0.5852,0.5852,0.6760,0.6760,0.06,0.46
Basic_VQC,titanic_survival,3,4,8,200,0.5829,0.5829,0.6704,0.6760,0.07,0.53
Basic_VQC,titanic_survival,3,4,9,200,0.5832,0.5829,0.6872,0.6872,0.06,0.59
Basic_VQC,titanic_survival,3,4,10,200,0.5806,0.5806,0.6872,0.6872,0.07,0.66
Basic_VQC,titanic_survival,3,4,11,200,0.5833,0.5806,0.7039,0.7039,0.06,0.72
Basic_VQC,titanic_survival,3,4,12,200,0.5816,0.5806,0.6927,0.7039,0.07,0.79
Basic_VQC,titanic_survival,3,4,13,200,0.5794,0.5794,0.6983,0.7039,0.07,0.86
Basic_VQC,titanic_survival,3,4,14,200,0.5783,0.5783,0.6927,0.7039,0.07,0.92
Basic_VQC,titanic_survival,3,4,15,200,0.5803,0.5783,0.7095,0.7095,0.07,0.99
Basic_VQC,titanic_survival,3,4,16,200,0.5786,0.5783,0.6983,0.7095,0.07,1.06
Basic_VQC,titanic_survival,3,4,17,200,0.5774,0.5774,0.6983,0.7095,0.06,1.12
Basic_VQC,titanic_survival,3,4,18,200,0.5769,0.5769,0.6983,0.7095,0.06,1.18
Basic_VQC,titanic_survival,3,4,19,200,0.5791,0.5769,0.7039,0.7095,0.07,1.25
Basic_VQC,titanic_survival,3,4,20,200,0.5769,0.5769,0.7039,0.7095,0.07,1.32
Basic_VQC,titanic_survival,3,4,21,200,0.5815,0.5769,0.7095,0.7095,0.07,1.38
Basic_VQC,titanic_survival,3,4,22,200,0.5785,0.5769,0.6760,0.7095,0.07,1.45
Basic_VQC,titanic_survival,3,4,23,200,0.5769,0.5769,0.6983,0.7095,0.06,1.51
Basic_VQC,titanic_survival,3,4,24,200,0.5763,0.5763,0.7039,0.7095,0.07,1.58
Basic_VQC,titanic_survival,3,4,25,200,0.5774,0.5763,0.6983,0.7095,0.07,1.65
Basic_VQC,titanic_survival,3,4,26,200,0.5756,0.5756,0.6648,0.7095,0.07,1.72
Basic_VQC,titanic_survival,3,4,27,200,0.5794,0.5756,0.6983,0.7095,0.07,1.79
Basic_VQC,titanic_survival,3,4,28,200,0.5801,0.5756,0.7095,0.7095,0.07,1.86
Basic_VQC,titanic_survival,3,4,29,200,0.5751,0.5751,0.6927,0.7095,0.07,1.92
Basic_VQC,titanic_survival,3,4,30,200,0.5752,0.5751,0.7151,0.7151,0.06,1.99
Basic_VQC,titanic_survival,3,4,31,200,0.5750,0.5750,0.6983,0.7151,0.07,2.05
Basic_VQC,titanic_survival,3,4,32,200,0.5749,0.5749,0.7039,0.7151,0.07,2.12
Basic_VQC,titanic_survival,3,4,33,200,0.5753,0.5749,0.6983,0.7151,0.07,2.18
Basic_VQC,titanic_survival,3,4,34,200,0.5732,0.5732,0.6704,0.7151,0.06,2.25
Basic_VQC,titanic_survival,3,4,35,200,0.5757,0.5732,0.7151,0.7151,0.07,2.32
Basic_VQC,titanic_survival,3,4,36,200,0.5849,0.5732,0.6983,0.7151,0.07,2.38
Basic_VQC,titanic_survival,3,4,37,200,0.5767,0.5732,0.6927,0.7151,0.07,2.45
Basic_VQC,titanic_survival,3,4,38,200,0.5740,0.5732,0.7039,0.7151,0.07,2.52
Basic_VQC,titanic_survival,3,4,39,200,0.5753,0.5732,0.7095,0.7151,0.07,2.58
Basic_VQC,titanic_survival,3,4,40,200,0.5764,0.5732,0.6480,0.7151,0.07,2.65
Basic_VQC,titanic_survival,3,4,41,200,0.5742,0.5732,0.6983,0.7151,0.07,2.72
Basic_VQC,titanic_survival,3,4,42,200,0.5780,0.5732,0.7151,0.7151,0.07,2.78
Basic_VQC,titanic_survival,3,4,43,200,0.5756,0.5732,0.6592,0.7151,0.06,2.85
Basic_VQC,titanic_survival,3,4,44,200,0.5719,0.5719,0.7095,0.7151,0.07,2.91
Basic_VQC,titanic_survival,3,4,45,200,0.5740,0.5719,0.6983,0.7151,0.07,2.98
Basic_VQC,titanic_survival,3,4,46,200,0.5741,0.5719,0.6927,0.7151,0.06,3.04
Basic_VQC,titanic_survival,3,4,47,200,0.5734,0.5719,0.6927,0.7151,0.07,3.11
Basic_VQC,titanic_survival,3,4,48,200,0.5813,0.5719,0.7039,0.7151,0.07,3.18
Basic_VQC,titanic_survival,3,4,49,200,0.5739,0.5719,0.6872,0.7151,0.07,3.24
Basic_VQC,titanic_survival,3,4,50,200,0.5751,0.5719,0.6983,0.7151,0.07,3.31
Basic_VQC,titanic_survival,3,4,51,200,0.5744,0.5719,0.7095,0.7151,0.07,3.38
Basic_VQC,titanic_survival,3,4,52,200,0.5767,0.5719,0.6648,0.7151,0.07,3.45
Basic_VQC,titanic_survival,3,4,53,200,0.5785,0.5719,0.6927,0.7151,0.07,3.51
Basic_VQC,titanic_survival,3,4,54,200,0.5730,0.5719,0.6983,0.7151,0.06,3.58
Basic_VQC,titanic_survival,3,4,55,200,0.5740,0.5719,0.6816,0.7151,0.06,3.64
Basic_VQC,titanic_survival,3,4,56,200,0.5742,0.5719,0.6983,0.7151,0.07,3.71
Basic_VQC,titanic_survival,3,4,57,200,0.5739,0.5719,0.6760,0.7151,0.07,3.77
Basic_VQC,titanic_survival,3,4,58,200,0.5737,0.5719,0.7039,0.7151,0.07,3.84
Basic_VQC,titanic_survival,3,4,59,200,0.5763,0.5719,0.6927,0.7151,0.07,3.90
Basic_VQC,titanic_survival,3,4,60,200,0.5753,0.5719,0.7039,0.7151,0.07,3.97
Basic_VQC,titanic_survival,3,4,61,200,0.5735,0.5719,0.7095,0.7151,0.07,4.04
Basic_VQC,titanic_survival,3,4,62,200,0.5740,0.5719,0.7039,0.7151,0.06,4.10
Basic_VQC,titanic_survival,3,4,63,200,0.5778,0.5719,0.7095,0.7151,0.07,4.17
Basic_VQC,titanic_survival,3,4,64,200,0.5725,0.5719,0.6760,0.7151,0.06,4.23
Basic_VQC,titanic_survival,3,4,65,200,0.5756,0.5719,0.6927,0.7151,0.07,4.30
Basic_VQC,titanic_survival,3,4,66,200,0.5781,0.5719,0.7039,0.7151,0.07,4.36
Basic_VQC,titanic_survival,3,4,67,200,0.5772,0.5719,0.6927,0.7151,0.07,4.43
Basic_VQC,titanic_survival,3,4,68,200,0.5742,0.5719,0.6983,0.7151,0.07,4.50
Basic_VQC,titanic_survival,3,4,69,200,0.5762,0.5719,0.6536,0.7151,0.06,4.56
Basic_VQC,titanic_survival,3,4,70,200,0.5817,0.5719,0.6816,0.7151,0.07,4.63
Basic_VQC,titanic_survival,3,4,71,200,0.5740,0.5719,0.7095,0.7151,0.06,4.69
Basic_VQC,titanic_survival,3,4,72,200,0.5718,0.5718,0.6816,0.7151,0.07,4.76
Basic_VQC,titanic_survival,3,4,73,200,0.5749,0.5718,0.6872,0.7151,0.07,4.82
Basic_VQC,titanic_survival,3,4,74,200,0.5721,0.5718,0.6816,0.7151,0.06,4.89
Basic_VQC,titanic_survival,3,4,75,200,0.5735,0.5718,0.7039,0.7151,0.07,4.95
Basic_VQC,titanic_survival,3,4,76,200,0.5755,0.5718,0.6704,0.7151,0.07,5.02
Basic_VQC,titanic_survival,3,4,77,200,0.5718,0.5718,0.6927,0.7151,0.07,5.09
Basic_VQC,titanic_survival,3,4,78,200,0.5726,0.5718,0.7039,0.7151,0.07,5.15
Basic_VQC,titanic_survival,3,4,79,200,0.5743,0.5718,0.7095,0.7151,0.07,5.22
Basic_VQC,titanic_survival,3,4,80,200,0.5738,0.5718,0.6760,0.7151,0.07,5.29
Basic_VQC,titanic_survival,3,4,81,200,0.5752,0.5718,0.6983,0.7151,0.06,5.35
Basic_VQC,titanic_survival,3,4,82,200,0.5754,0.5718,0.6872,0.7151,0.06,5.42
Basic_VQC,titanic_survival,3,4,83,200,0.5736,0.5718,0.6760,0.7151,0.06,5.48
Basic_VQC,titanic_survival,3,4,84,200,0.5744,0.5718,0.7039,0.7151,0.07,5.55
Basic_VQC,titanic_survival,3,4,85,200,0.5754,0.5718,0.7039,0.7151,0.07,5.61
Basic_VQC,titanic_survival,3,4,86,200,0.5741,0.5718,0.6927,0.7151,0.07,5.68
Basic_VQC,titanic_survival,3,4,87,200,0.5744,0.5718,0.7039,0.7151,0.07,5.74
Basic_VQC,titanic_survival,3,4,88,200,0.5746,0.5718,0.6983,0.7151,0.06,5.81
Basic_VQC,titanic_survival,3,4,89,200,0.5777,0.5718,0.6872,0.7151,0.07,5.87
Basic_VQC,titanic_survival,3,4,90,200,0.5738,0.5718,0.7095,0.7151,0.06,5.94
Basic_VQC,titanic_survival,3,4,91,200,0.5731,0.5718,0.7095,0.7151,0.07,6.01
Basic_VQC,titanic_survival,3,4,92,200,0.5737,0.5718,0.6927,0.7151,0.07,6.07
Basic_VQC,titanic_survival,3,4,93,200,0.5736,0.5718,0.7095,0.7151,0.07,6.14
Basic_VQC,titanic_survival,3,4,94,200,0.5764,0.5718,0.6927,0.7151,0.07,6.20
Basic_VQC,titanic_survival,3,4,95,200,0.5780,0.5718,0.7095,0.7151,0.07,6.27
Basic_VQC,titanic_survival,3,4,96,200,0.5737,0.5718,0.7039,0.7151,0.07,6.34
Basic_VQC,titanic_survival,3,4,97,200,0.5742,0.5718,0.7039,0.7151,0.06,6.40
Basic_VQC,titanic_survival,3,4,98,200,0.5780,0.5718,0.7039,0.7151,0.06,6.46
Basic_VQC,titanic_survival,3,4,99,200,0.5768,0.5718,0.6816,0.7151,0.07,6.53
Basic_VQC,titanic_survival,3,4,100,200,0.5733,0.5718,0.6927,0.7151,0.07,6.60
Basic_VQC,titanic_survival,3,4,101,200,0.5734,0.5718,0.7039,0.7151,0.07,6.66
Basic_VQC,titanic_survival,3,4,102,200,0.5763,0.5718,0.6927,0.7151,0.07,6.73
Basic_VQC,titanic_survival,3,4,103,200,0.5751,0.5718,0.6927,0.7151,0.07,6.80
Basic_VQC,titanic_survival,3,4,104,200,0.5800,0.5718,0.6983,0.7151,0.07,6.86
Basic_VQC,titanic_survival,3,4,105,200,0.5718,0.5718,0.7151,0.7151,0.06,6.93
Basic_VQC,titanic_survival,3,4,106,200,0.5763,0.5718,0.6816,0.7151,0.06,6.99
Basic_VQC,titanic_survival,3,4,107,200,0.5732,0.5718,0.6872,0.7151,0.07,7.06
Basic_VQC,titanic_survival,3,4,108,200,0.5753,0.5718,0.7039,0.7151,0.07,7.12
Basic_VQC,titanic_survival,3,4,109,200,0.5722,0.5718,0.6760,0.7151,0.06,7.19
Basic_VQC,titanic_survival,3,4,110,200,0.5744,0.5718,0.6983,0.7151,0.06,7.25
Basic_VQC,titanic_survival,3,4,111,200,0.5729,0.5718,0.6872,0.7151,0.07,7.32
Basic_VQC,titanic_survival,3,4,112,200,0.5724,0.5718,0.6983,0.7151,0.07,7.38
Basic_VQC,titanic_survival,3,4,113,200,0.5746,0.5718,0.7095,0.7151,0.07,7.45
Basic_VQC,titanic_survival,3,4,114,200,0.5741,0.5718,0.6760,0.7151,0.06,7.52
Basic_VQC,titanic_survival,3,4,115,200,0.5745,0.5718,0.6983,0.7151,0.06,7.58
Basic_VQC,titanic_survival,3,4,116,200,0.5748,0.5718,0.7151,0.7151,0.06,7.65
Basic_VQC,titanic_survival,3,4,117,200,0.5747,0.5718,0.7151,0.7151,0.07,7.71
Basic_VQC,titanic_survival,3,4,118,200,0.5729,0.5718,0.6983,0.7151,0.07,7.78
Basic_VQC,titanic_survival,3,4,119,200,0.5713,0.5713,0.6872,0.7151,0.07,7.84
Basic_VQC,titanic_survival,3,4,120,200,0.5721,0.5713,0.6760,0.7151,0.06,7.91
Basic_VQC,titanic_survival,3,4,121,200,0.5717,0.5713,0.6983,0.7151,0.07,7.97
Basic_VQC,titanic_survival,3,4,122,200,0.5735,0.5713,0.7095,0.7151,0.06,8.04
Basic_VQC,titanic_survival,3,4,123,200,0.5748,0.5713,0.6927,0.7151,0.07,8.10
Basic_VQC,titanic_survival,3,4,124,200,0.5715,0.5713,0.6536,0.7151,0.07,8.17
Basic_VQC,titanic_survival,3,4,125,200,0.5752,0.5713,0.7095,0.7151,0.07,8.24
Basic_VQC,titanic_survival,3,4,126,200,0.5741,0.5713,0.7095,0.7151,0.07,8.30
Basic_VQC,titanic_survival,3,4,127,200,0.5778,0.5713,0.6816,0.7151,0.07,8.37
Basic_VQC,titanic_survival,3,4,128,200,0.5725,0.5713,0.7095,0.7151,0.07,8.44
Basic_VQC,titanic_survival,3,4,129,200,0.5723,0.5713,0.6816,0.7151,0.06,8.50
Basic_VQC,titanic_survival,3,4,130,200,0.5741,0.5713,0.7039,0.7151,0.07,8.57
Basic_VQC,titanic_survival,3,4,131,200,0.5702,0.5702,0.6927,0.7151,0.07,8.63
Basic_VQC,titanic_survival,3,4,132,200,0.5724,0.5702,0.7095,0.7151,0.07,8.71
Basic_VQC,titanic_survival,3,4,133,200,0.5761,0.5702,0.6927,0.7151,0.07,8.78
Basic_VQC,titanic_survival,3,4,134,200,0.5733,0.5702,0.7095,0.7151,0.08,8.85
Basic_VQC,titanic_survival,3,4,135,200,0.5708,0.5702,0.6983,0.7151,0.07,8.92
Basic_VQC,titanic_survival,3,4,136,200,0.5706,0.5702,0.7095,0.7151,0.07,8.99
Basic_VQC,titanic_survival,3,4,137,200,0.5770,0.5702,0.6927,0.7151,0.07,9.05
Basic_VQC,titanic_survival,3,4,138,200,0.5758,0.5702,0.6872,0.7151,0.07,9.12
Basic_VQC,titanic_survival,3,4,139,200,0.5736,0.5702,0.7039,0.7151,0.07,9.19
Basic_VQC,titanic_survival,3,4,140,200,0.5796,0.5702,0.6592,0.7151,0.07,9.25
Basic_VQC,titanic_survival,3,4,141,200,0.5746,0.5702,0.6983,0.7151,0.07,9.32
Basic_VQC,titanic_survival,3,4,142,200,0.5721,0.5702,0.6983,0.7151,0.06,9.38
Basic_VQC,titanic_survival,3,4,143,200,0.5742,0.5702,0.6983,0.7151,0.06,9.44
Basic_VQC,titanic_survival,3,4,144,200,0.5748,0.5702,0.7095,0.7151,0.07,9.51
Basic_VQC,titanic_survival,3,4,145,200,0.5726,0.5702,0.6872,0.7151,0.07,9.58
Basic_VQC,titanic_survival,3,4,146,200,0.5731,0.5702,0.6760,0.7151,0.06,9.64
Basic_VQC,titanic_survival,3,4,147,200,0.5711,0.5702,0.7039,0.7151,0.07,9.71
Basic_VQC,titanic_survival,3,4,148,200,0.5722,0.5702,0.6872,0.7151,0.06,9.77
Basic_VQC,titanic_survival,3,4,149,200,0.5714,0.5702,0.6816,0.7151,0.07,9.84
Basic_VQC,titanic_survival,3,4,150,200,0.5735,0.5702,0.6983,0.7151,0.07,9.90
Basic_VQC,titanic_survival,3,4,151,200,0.5739,0.5702,0.7095,0.7151,0.06,9.97
Basic_VQC,titanic_survival,3,4,152,200,0.5732,0.5702,0.6480,0.7151,0.06,10.03
Basic_VQC,titanic_survival,3,4,153,200,0.5734,0.5702,0.7095,0.7151,0.07,10.10
Basic_VQC,titanic_survival,3,4,154,200,0.5764,0.5702,0.6760,0.7151,0.07,10.16
Basic_VQC,titanic_survival,3,4,155,200,0.5728,0.5702,0.6927,0.7151,0.06,10.23
Basic_VQC,titanic_survival,3,4,156,200,0.5727,0.5702,0.6983,0.7151,0.07,10.29
Basic_VQC,titanic_survival,3,4,157,200,0.5737,0.5702,0.6983,0.7151,0.06,10.36
Basic_VQC,titanic_survival,3,4,158,200,0.5740,0.5702,0.6872,0.7151,0.06,10.42
Basic_VQC,titanic_survival,3,4,159,200,0.5766,0.5702,0.7207,0.7207,0.07,10.49
Basic_VQC,titanic_survival,3,4,160,200,0.5792,0.5702,0.6592,0.7207,0.06,10.55
Basic_VQC,titanic_survival,3,4,161,200,0.5781,0.5702,0.6425,0.7207,0.06,10.62
Basic_VQC,titanic_survival,3,4,162,200,0.5771,0.5702,0.7151,0.7207,0.07,10.68
Basic_VQC,titanic_survival,3,4,163,200,0.5756,0.5702,0.6760,0.7207,0.07,10.75
Basic_VQC,titanic_survival,3,4,164,200,0.5742,0.5702,0.6983,0.7207,0.07,10.81
Basic_VQC,titanic_survival,3,4,165,200,0.5733,0.5702,0.6872,0.7207,0.07,10.88
Basic_VQC,titanic_survival,3,4,166,200,0.5738,0.5702,0.6983,0.7207,0.06,10.94
Basic_VQC,titanic_survival,3,4,167,200,0.5747,0.5702,0.6816,0.7207,0.06,11.01
Basic_VQC,titanic_survival,3,4,168,200,0.5732,0.5702,0.7151,0.7207,0.07,11.07
Basic_VQC,titanic_survival,3,4,169,200,0.5751,0.5702,0.6816,0.7207,0.06,11.14
Basic_VQC,titanic_survival,3,4,170,200,0.5747,0.5702,0.7039,0.7207,0.07,11.20
Basic_VQC,titanic_survival,3,4,171,200,0.5732,0.5702,0.7039,0.7207,0.07,11.27
Basic_VQC,titanic_survival,3,4,172,200,0.5724,0.5702,0.6983,0.7207,0.07,11.34
Basic_VQC,titanic_survival,3,4,173,200,0.5762,0.5702,0.6983,0.7207,0.06,11.40
Basic_VQC,titanic_survival,3,4,174,200,0.5729,0.5702,0.7039,0.7207,0.07,11.47
Basic_VQC,titanic_survival,3,4,175,200,0.5739,0.5702,0.6872,0.7207,0.07,11.53
Basic_VQC,titanic_survival,3,4,176,200,0.5741,0.5702,0.7039,0.7207,0.07,11.60
Basic_VQC,titanic_survival,3,4,177,200,0.5732,0.5702,0.6760,0.7207,0.07,11.67
Basic_VQC,titanic_survival,3,4,178,200,0.5708,0.5702,0.7039,0.7207,0.07,11.73
Basic_VQC,titanic_survival,3,4,179,200,0.5722,0.5702,0.6983,0.7207,0.07,11.80
Basic_VQC,titanic_survival,3,4,180,200,0.5710,0.5702,0.7095,0.7207,0.07,11.87
Basic_VQC,titanic_survival,3,4,181,200,0.5743,0.5702,0.6816,0.7207,0.07,11.93
Basic_VQC,titanic_survival,3,4,182,200,0.5723,0.5702,0.7039,0.7207,0.07,12.00
Basic_VQC,titanic_survival,3,4,183,200,0.5742,0.5702,0.7039,0.7207,0.06,12.06
Basic_VQC,titanic_survival,3,4,184,200,0.5713,0.5702,0.7095,0.7207,0.07,12.13
Basic_VQC,titanic_survival,3,4,185,200,0.5726,0.5702,0.7039,0.7207,0.06,12.19
Basic_VQC,titanic_survival,3,4,186,200,0.5788,0.5702,0.6927,0.7207,0.07,12.26
Basic_VQC,titanic_survival,3,4,187,200,0.5740,0.5702,0.6927,0.7207,0.07,12.32
Basic_VQC,titanic_survival,3,4,188,200,0.5707,0.5702,0.6983,0.7207,0.06,12.39
Basic_VQC,titanic_survival,3,4,189,200,0.5781,0.5702,0.7039,0.7207,0.07,12.45
Basic_VQC,titanic_survival,3,4,190,200,0.5747,0.5702,0.7039,0.7207,0.06,12.52
Basic_VQC,titanic_survival,3,4,191,200,0.5703,0.5702,0.7095,0.7207,0.07,12.58
Basic_VQC,titanic_survival,3,4,192,200,0.5723,0.5702,0.6816,0.7207,0.06,12.65
Basic_VQC,titanic_survival,3,4,193,200,0.5722,0.5702,0.6983,0.7207,0.06,12.71
Basic_VQC,titanic_survival,3,4,194,200,0.5731,0.5702,0.7151,0.7207,0.06,12.78
Basic_VQC,titanic_survival,3,4,195,200,0.5737,0.5702,0.6816,0.7207,0.07,12.84
Basic_VQC,titanic_survival,3,4,196,200,0.5725,0.5702,0.7095,0.7207,0.07,12.91
Basic_VQC,titanic_survival,3,4,197,200,0.5746,0.5702,0.7095,0.7207,0.06,12.98
Basic_VQC,titanic_survival,3,4,198,200,0.5753,0.5702,0.6816,0.7207,0.07,13.04
Basic_VQC,titanic_survival,3,4,199,200,0.5723,0.5702,0.6760,0.7207,0.07,13.11
Basic_VQC,titanic_survival,3,4,200,200,0.5737,0.5702,0.6927,0.7207,0.07,13.17
=================================================================================
Basic_VQC,titanic_survival,3,4,1,200,0.6496,0.6496,0.5419,0.5419,0.06,0.06
Basic_VQC,titanic_survival,3,4,2,200,0.6201,0.6201,0.6313,0.6313,0.07,0.13
Basic_VQC,titanic_survival,3,4,3,200,0.6018,0.6018,0.6592,0.6592,0.07,0.20
Basic_VQC,titanic_survival,3,4,4,200,0.5931,0.5931,0.6480,0.6592,0.07,0.26
Basic_VQC,titanic_survival,3,4,5,200,0.5880,0.5880,0.6480,0.6592,0.06,0.33
Basic_VQC,titanic_survival,3,4,6,200,0.5859,0.5859,0.6760,0.6760,0.07,0.39
Basic_VQC,titanic_survival,3,4,7,200,0.5852,0.5852,0.6760,0.6760,0.07,0.46
Basic_VQC,titanic_survival,3,4,8,200,0.5829,0.5829,0.6704,0.6760,0.06,0.52
Basic_VQC,titanic_survival,3,4,9,200,0.5832,0.5829,0.6872,0.6872,0.07,0.59
